iter	Passed	Remaining
0	170	170709
1	195	97789
2	197	65723
3	199	49633
4	200	39867
5	201	33339
6	202	28670
7	202	25166
8	203	22453
9	204	20281
10	205	18512
11	206	17017
12	207	15767
13	208	14709
14	209	13782
15	210	12959
16	212	12276
17	214	11686
18	215	11117
19	216	10592
20	217	10129
21	218	9703
22	219	9318
23	220	8966
24	221	8647
25	222	8347
26	224	8098
27	226	7853
28	228	7645
29	229	7416
30	230	7202
31	231	7001
32	232	6819
33	233	6644
34	234	6479
35	236	6325
36	237	6180
37	238	6044
38	240	5927
39	241	5806
40	243	5688
41	244	5571
42	245	5461
43	246	5355
44	247	5256
45	248	5159
46	249	5067
47	251	4983
48	252	4897
49	253	4819
50	255	4754
51	256	4681
52	257	4608
53	258	4535
54	260	4469
55	261	4403
56	262	4340
57	263	4279
58	264	4220
59	265	4164
60	266	4107
61	267	4053
62	269	4005
63	270	3962
64	272	3912
65	272	3862
66	273	3813
67	274	3767
68	275	3722
69	276	3679
70	278	3638
71	278	3595
72	279	3553
73	280	3514
74	281	3474
75	282	3435
76	283	3397
77	284	3363
78	286	3342
79	288	3312
80	288	3278
81	289	3245
82	290	3213
83	291	3183
84	292	3152
85	293	3124
86	294	3094
87	295	3064
88	296	3035
89	297	3006
90	298	2978
91	299	2951
92	300	2929
93	301	2908
94	302	2885
95	303	2860
96	305	2841
97	306	2818
98	307	2796
99	308	2773
100	308	2750
101	309	2727
102	310	2705
103	311	2683
104	312	2662
105	313	2641
106	313	2620
107	315	2604
108	316	2589
109	317	2572
110	318	2553
111	319	2535
112	320	2516
113	321	2500
114	322	2483
115	323	2466
116	324	2449
117	325	2432
118	326	2416
119	327	2399
120	328	2382
121	328	2366
122	330	2355
123	331	2345
124	333	2332
125	334	2317
126	335	2303
127	336	2291
128	337	2277
129	338	2262
130	339	2248
131	339	2234
132	340	2221
133	341	2207
134	342	2193
135	343	2180
136	344	2167
137	346	2165
138	347	2155
139	349	2143
140	350	2132
141	350	2117
142	351	2106
143	352	2095
144	353	2083
145	354	2071
146	354	2059
147	355	2048
148	356	2037
149	357	2026
150	358	2014
151	359	2003
152	360	1997
153	362	1989
154	363	1981
155	363	1968
156	364	1959
157	365	1949
158	366	1939
159	367	1930
160	368	1920
161	369	1911
162	370	1901
163	371	1891
164	371	1882
165	372	1872
166	373	1863
167	374	1854
168	374	1843
169	376	1838
170	377	1831
171	378	1822
172	379	1814
173	380	1806
174	381	1798
175	382	1789
176	383	1781
177	383	1771
178	383	1761
179	384	1753
180	385	1746
181	386	1735
182	386	1725
183	387	1716
184	387	1709
185	388	1702
186	389	1694
187	390	1686
188	391	1678
189	392	1671
190	392	1664
191	393	1657
192	394	1650
193	395	1643
194	396	1636
195	397	1630
196	398	1624
197	399	1617
198	400	1611
199	401	1604
200	401	1596
201	402	1588
202	402	1581
203	403	1573
204	403	1565
205	405	1561
206	405	1555
207	406	1547
208	407	1542
209	408	1536
210	408	1529
211	409	1522
212	410	1516
213	411	1510
214	411	1503
215	412	1495
216	412	1488
217	412	1481
218	413	1475
219	414	1468
220	414	1461
221	415	1454
222	415	1447
223	415	1440
224	416	1433
225	416	1426
226	417	1421
227	418	1416
228	418	1410
229	419	1405
230	420	1400
231	421	1394
232	422	1389
233	423	1384
234	423	1380
235	424	1375
236	425	1370
237	426	1363
238	426	1357
239	427	1353
240	428	1348
241	429	1343
242	429	1337
243	429	1332
244	430	1325
245	430	1320
246	431	1316
247	432	1311
248	433	1305
249	434	1302
250	434	1296
251	435	1291
252	435	1286
253	436	1283
254	437	1279
255	438	1273
256	439	1270
257	441	1269
258	444	1271
259	446	1271
260	448	1269
261	449	1267
262	451	1265
263	452	1262
264	453	1259
265	455	1256
266	456	1252
267	457	1250
268	459	1249
269	460	1245
270	461	1241
271	462	1237
272	463	1234
273	464	1231
274	465	1227
275	466	1223
276	467	1219
277	467	1215
278	468	1211
279	469	1208
280	470	1204
281	471	1200
282	472	1196
283	473	1194
284	474	1190
285	475	1187
286	476	1184
287	477	1179
288	478	1176
289	479	1173
290	480	1169
291	480	1166
292	481	1162
293	482	1158
294	483	1155
295	484	1151
296	484	1147
297	486	1145
298	487	1141
299	488	1140
300	490	1138
301	491	1135
302	491	1131
303	492	1127
304	493	1123
305	493	1120
306	494	1117
307	495	1113
308	496	1110
309	497	1107
310	498	1104
311	499	1101
312	500	1098
313	501	1095
314	502	1092
315	503	1089
316	505	1090
317	506	1086
318	507	1083
319	508	1080
320	509	1077
321	510	1075
322	511	1072
323	513	1070
324	514	1067
325	515	1064
326	516	1062
327	517	1059
328	520	1060
329	521	1059
330	522	1056
331	523	1054
332	524	1051
333	525	1048
334	526	1045
335	527	1043
336	528	1040
337	529	1037
338	530	1034
339	531	1031
340	532	1028
341	534	1028
342	535	1025
343	536	1023
344	537	1020
345	538	1017
346	539	1015
347	540	1012
348	541	1010
349	542	1007
350	543	1005
351	544	1002
352	545	1000
353	546	997
354	548	995
355	550	995
356	551	992
357	552	990
358	552	986
359	553	984
360	554	981
361	555	978
362	556	975
363	557	973
364	557	970
365	558	967
366	559	965
367	560	962
368	561	960
369	562	957
370	564	956
371	565	954
372	566	952
373	567	950
374	568	947
375	569	945
376	570	943
377	571	940
378	572	938
379	573	935
380	574	933
381	575	930
382	576	928
383	577	925
384	579	926
385	581	924
386	582	922
387	583	919
388	584	917
389	585	915
390	586	913
391	587	910
392	588	908
393	589	906
394	590	903
395	590	901
396	592	899
397	593	897
398	594	895
399	595	893
400	596	891
401	597	889
402	599	887
403	600	885
404	601	883
405	602	880
406	603	878
407	604	876
408	605	874
409	606	872
410	607	869
411	608	868
412	610	868
413	611	866
414	612	863
415	613	861
416	614	859
417	615	856
418	616	854
419	617	852
420	618	850
421	618	847
422	619	845
423	620	843
424	621	840
425	622	838
426	623	836
427	625	835
428	626	833
429	627	831
430	628	829
431	629	827
432	630	825
433	630	822
434	631	820
435	632	818
436	633	816
437	634	813
438	635	811
439	636	809
440	637	807
441	638	805
442	639	804
443	641	802
444	641	800
445	642	798
446	644	796
447	644	794
448	645	792
449	646	790
450	647	788
451	648	786
452	649	783
453	650	781
454	651	780
455	652	777
456	652	775
457	653	773
458	655	772
459	656	770
460	657	768
461	658	767
462	659	765
463	660	763
464	661	761
465	662	759
466	663	756
467	664	754
468	665	753
469	666	751
470	667	749
471	667	747
472	669	745
473	670	744
474	671	742
475	672	740
476	673	738
477	674	736
478	675	734
479	676	732
480	677	730
481	677	728
482	679	726
483	680	725
484	680	723
485	681	720
486	682	718
487	683	716
488	685	715
489	686	714
490	687	712
491	688	711
492	689	709
493	690	707
494	691	705
495	693	704
496	694	702
497	695	700
498	696	698
499	697	697
500	698	695
501	700	695
502	701	693
503	702	691
504	703	689
505	704	687
506	705	685
507	706	684
508	707	682
509	708	680
510	709	679
511	710	677
512	712	676
513	715	676
514	716	675
515	717	673
516	718	671
517	719	669
518	720	668
519	722	666
520	724	666
521	725	664
522	726	662
523	727	661
524	729	659
525	731	659
526	733	657
527	734	656
528	735	655
529	736	653
530	737	651
531	738	650
532	739	648
533	740	646
534	741	644
535	742	642
536	743	640
537	745	640
538	747	639
539	748	637
540	749	635
541	750	634
542	751	632
543	753	631
544	754	630
545	755	628
546	756	626
547	757	625
548	759	624
549	762	623
550	763	622
551	764	620
552	765	619
553	766	617
554	768	615
555	769	614
556	770	613
557	771	611
558	773	609
559	774	608
560	775	607
561	777	605
562	778	603
563	778	602
564	779	600
565	780	598
566	781	596
567	782	595
568	783	593
569	784	591
570	785	590
571	786	588
572	787	586
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	575
579	792	574
580	793	572
581	794	570
582	795	568
583	796	567
584	796	565
585	797	563
586	798	561
587	799	559
588	799	558
589	800	556
590	801	554
591	802	552
592	802	551
593	803	549
594	804	547
595	805	546
596	807	545
597	809	544
598	810	542
599	811	540
600	812	539
601	813	537
602	814	536
603	815	534
604	816	533
605	817	531
606	818	529
607	819	528
608	820	526
609	821	525
610	823	524
611	823	522
612	824	520
613	825	519
614	826	517
615	827	515
616	827	513
617	828	512
618	829	510
619	830	508
620	831	507
621	831	505
622	832	503
623	833	502
624	834	500
625	836	499
626	838	498
627	838	496
628	839	495
629	840	493
630	841	492
631	842	490
632	843	488
633	844	487
634	845	485
635	846	484
636	846	482
637	847	481
638	848	479
639	849	477
640	850	476
641	852	475
642	853	473
643	854	472
644	854	470
645	855	469
646	856	467
647	857	465
648	858	464
649	859	462
650	860	461
651	861	459
652	861	457
653	862	456
654	863	454
655	864	453
656	865	451
657	867	451
658	868	449
659	869	448
660	870	446
661	871	445
662	872	443
663	873	441
664	874	440
665	875	438
666	875	437
667	876	435
668	877	434
669	878	432
670	879	431
671	880	429
672	881	428
673	883	427
674	883	425
675	884	424
676	885	422
677	886	421
678	887	419
679	888	418
680	889	416
681	890	414
682	890	413
683	891	411
684	892	410
685	893	409
686	894	407
687	896	406
688	897	404
689	898	403
690	898	401
691	899	400
692	900	398
693	901	397
694	902	395
695	902	394
696	903	392
697	904	391
698	905	389
699	906	388
700	907	387
701	908	385
702	909	384
703	910	382
704	912	381
705	913	380
706	913	378
707	914	377
708	915	375
709	916	374
710	917	372
711	917	371
712	918	369
713	919	368
714	920	366
715	921	365
716	922	364
717	923	362
718	924	361
719	924	359
720	925	358
721	927	357
722	929	355
723	929	354
724	930	353
725	931	351
726	932	350
727	933	348
728	934	347
729	934	345
730	935	344
731	936	342
732	937	341
733	938	340
734	939	338
735	939	337
736	940	335
737	941	334
738	943	333
739	944	331
740	944	330
741	945	328
742	946	327
743	947	325
744	948	324
745	949	323
746	950	321
747	951	320
748	952	319
749	952	317
750	953	316
751	954	314
752	955	313
