iter	Passed	Remaining
0	1	122
1	2	111
2	3	102
3	3	91
4	5	103
5	6	102
6	7	100
7	8	97
8	9	94
9	10	92
10	11	91
11	12	90
12	13	89
13	14	87
14	15	86
15	16	84
16	17	83
17	18	84
18	19	83
19	20	82
20	21	81
21	22	80
22	23	78
23	24	77
24	25	77
25	26	76
26	27	75
27	28	74
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	43	57
43	43	55
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	49	48
51	50	46
52	51	45
53	52	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
